,2_pointers,2_pointers_attempted,2pt_percentage,3_pointers,3_pointers_attempted,3pt_percentage,assists,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,field_goals_attempted,free_throw_percentage,free_throws,free_throws_attempted,games,games_start,minutes_played,name,offensive_rebounds,personal_fouls,points,steals,total_rebounds,turnovers
79,1.5,3.1,.466,0.5,1.3,.362,2.4,0.2,1.4,.488,.436,1.9,4.4,.778,1.3,1.7,37,2,14.1,Kadeem Allen,0.3,1.6,5.6,0.5,1.7,0.9
80,5.5,10.5,.523,0.3,1.1,.307,2.7,0.5,6.7,.517,.502,5.8,11.6,.722,3.4,4.7,311,231,28.5,Julius Randle,2.1,3.3,15.4,0.6,8.9,2.4
81,4.0,7.8,.517,0.0,0.1,.212,1.0,1.1,4.1,.514,.512,4.1,8.0,.709,1.7,2.3,737,384,25.9,Taj Gibson,2.4,2.6,9.8,0.6,6.4,1.2
82,3.3,6.8,.490,0.8,2.3,.361,1.1,0.3,4.3,.503,.458,4.1,9.0,.751,1.1,1.5,249,49,20.3,Bobby Portis,1.9,1.9,10.2,0.5,6.2,1.1
83,1.5,3.3,.447,1.5,3.9,.379,1.1,0.1,1.9,.513,.410,3.0,7.3,.846,0.7,0.8,645,165,21.3,Wayne Ellington,0.3,1.2,8.2,0.6,2.2,0.7
84,4.1,8.6,.479,0.4,1.4,.302,6.6,0.3,3.2,.475,.454,4.6,10.0,.630,1.6,2.5,342,295,29.5,Elfrid Payton,1.1,2.2,11.1,1.3,4.4,2.5
85,2.9,6.1,.476,1.4,3.9,.360,1.5,0.3,3.6,.501,.431,4.3,9.9,.747,1.6,2.2,545,292,26.5,Marcus Morris,1.0,2.1,11.5,0.7,4.6,1.2
86,1.2,2.3,.495,1.3,3.4,.392,1.1,0.1,1.7,.550,.434,2.5,5.7,.828,0.5,0.6,272,119,19.3,Reggie Bullock,0.3,1.0,6.8,0.5,2.1,0.6
87,4.1,8.7,.467,1.0,3.1,.325,4.6,0.1,2.3,.473,.430,5.1,11.8,.825,2.2,2.7,431,175,24.7,Dennis Schröder,0.4,1.9,13.4,0.8,2.7,2.3
88,4.0,6.8,.589,0.0,0.0,0,1.0,1.0,3.9,.588,.588,4.0,6.8,.553,1.6,2.9,467,403,26.8,Steven Adams,3.5,2.7,9.7,0.9,7.4,1.4
89,2.9,6.3,.464,1.9,5.0,.376,2.0,0.4,4.1,.509,.425,4.8,11.3,.871,4.4,5.1,549,479,31.1,Danilo Gallinari,0.8,1.9,15.9,0.8,4.9,1.3
90,1.9,3.8,.500,0.8,2.3,.367,1.1,0.5,2.9,.519,.450,2.7,6.1,.749,0.6,0.8,622,81,21.8,Patrick Patterson,1.2,1.6,6.9,0.6,4.1,0.7
91,0.8,1.8,.432,0.5,1.5,.333,0.4,0.2,1.5,.463,.387,1.3,3.3,.667,0.5,0.7,109,2,11.2,Abdel Nader,0.2,1.0,3.6,0.3,1.7,0.6
92,1.5,2.5,.609,0.4,1.4,.257,0.9,0.7,2.8,.528,.482,1.9,4.0,.467,0.4,0.9,295,269,22.5,Andre Roberson,1.2,2.2,4.6,0.9,4.0,0.6
93,0.8,1.4,.574,1.1,3.0,.356,0.7,0.2,1.0,.547,.425,1.9,4.4,.754,0.3,0.5,135,86,20.0,Terrance Ferguson,0.4,2.3,5.2,0.5,1.4,0.4
94,3.5,7.0,.503,0.6,1.7,.367,3.3,0.5,2.1,.512,.476,4.2,8.7,.800,1.9,2.4,82,73,26.5,Shai Gilgeous-Alexander,0.7,2.1,10.8,1.2,2.8,1.7
95,5.2,10.2,.504,1.3,3.6,.370,9.7,0.1,3.8,.518,.469,6.5,13.8,.868,4.2,4.9,950,950,35.1,Chris Paul,0.7,2.5,18.5,2.2,4.5,2.4
96,1.4,2.8,.504,0.1,0.5,.167,0.3,0.2,1.2,.467,.455,1.5,3.2,.610,0.7,1.2,51,3,10.3,Hamidou Diallo,0.7,1.5,3.7,0.4,1.9,0.5
97,0.8,1.7,.455,0.3,0.8,.296,0.3,0.3,0.8,.451,.402,1.0,2.6,.667,0.3,0.4,32,0,7.5,Deonte Burton,0.1,1.0,2.6,0.2,0.9,0.3
98,0.0,0.0,,0.0,0.7,.000,0.0,0.0,0.0,.000,.000,0.0,0.7,,0.0,0.0,3,0,0.7,Donte Grantham,0.0,0.0,0.0,0.0,0.0,0.0
99,3.4,6.4,.523,0.0,0.0,0,1.2,1.4,4.4,.523,.523,3.4,6.4,.631,1.4,2.3,300,160,22.8,Nerlens Noel,2.0,2.5,8.2,1.4,6.5,1.4
100,1.4,2.6,.545,0.7,1.9,.365,0.9,0.5,2.3,.546,.468,2.1,4.5,.841,0.8,0.9,307,28,15.9,Mike Muscala,1.0,1.5,5.7,0.4,3.3,0.7
101,1.9,4.4,.438,1.3,3.4,.381,4.0,0.0,1.6,.497,.413,3.2,7.7,.863,2.1,2.5,807,307,24.1,D.J. Augustin,0.3,1.5,9.8,0.6,1.9,1.5
102,3.2,6.5,.498,1.7,4.5,.371,2.5,0.1,2.3,.522,.446,4.9,10.9,.805,2.1,2.6,457,315,28.0,Evan Fournier,0.5,2.4,13.5,0.8,2.8,1.6
103,2.1,4.4,.484,1.0,3.1,.327,1.0,1.3,3.9,.487,.419,3.1,7.4,.806,1.3,1.6,102,74,24.8,Jonathan Isaac,1.1,1.9,8.5,0.9,5.0,1.0
104,3.2,7.6,.422,0.1,0.5,.267,3.4,0.3,2.3,.421,.414,3.3,8.1,.534,0.9,1.8,33,15,20.6,Markelle Fultz,1.1,2.2,7.7,0.9,3.4,1.3
105,1.3,2.8,.458,0.3,1.0,.304,1.0,0.3,1.9,.457,.419,1.6,3.8,.787,0.9,1.2,130,25,17.3,Wesley Iwundu,0.6,1.6,4.4,0.5,2.5,0.6
106,2.0,3.7,.555,0.4,1.5,.300,0.8,1.4,3.6,.525,.481,2.5,5.2,.587,0.8,1.3,47,1,16.3,Mohamed Bamba,1.4,2.2,6.2,0.3,5.0,0.9
107,3.6,7.1,.512,1.1,3.4,.321,2.2,0.6,4.6,.502,.450,4.7,10.4,.707,2.0,2.8,341,252,27.9,Aaron Gordon,1.6,2.0,12.5,0.8,6.2,1.4
108,0.7,1.5,.467,0.0,0.6,.000,0.1,0.0,0.2,.333,.333,0.7,2.1,.250,0.1,0.4,10,0,4.4,Melvin Frazier,0.3,0.6,1.5,0.1,0.5,0.1
109,2.0,4.3,.469,0.8,2.3,.337,1.2,0.6,4.7,.482,.423,2.8,6.7,.747,1.3,1.7,670,429,25.2,Al-Farouq Aminu,1.4,1.9,7.7,1.0,6.1,1.2
110,6.6,12.7,.515,0.3,1.0,.332,2.4,0.9,7.4,.514,.502,6.9,13.7,.741,1.6,2.1,536,475,30.0,Nikola Vučević,2.7,2.6,15.7,0.9,10.1,1.8
111,2.1,4.4,.477,1.8,4.8,.374,1.1,0.3,2.4,.521,.423,3.9,9.3,.819,0.9,1.0,492,176,24.3,Terrence Ross,0.4,1.8,10.5,0.8,2.8,0.9
112,3.6,8.3,.433,0.5,1.8,.251,4.6,0.6,3.6,.423,.401,4.1,10.1,.702,2.3,3.3,315,192,26.2,Michael Carter-Williams,0.9,2.5,10.9,1.3,4.5,2.5
113,1.7,3.0,.576,0.0,0.0,0,0.8,0.5,2.4,.574,.574,1.7,3.0,.694,1.1,1.6,92,1,13.3,Khem Birch,1.6,1.4,4.5,0.4,4.0,0.4
114,6.8,12.1,.558,0.0,0.1,.000,7.9,0.8,6.5,.554,.554,6.8,12.2,.583,2.8,4.8,160,160,34.0,Ben Simmons,2.0,2.6,16.4,1.6,8.5,3.5
115,2.8,6.0,.467,1.6,4.4,.368,2.9,0.7,2.5,.503,.425,4.4,10.4,.821,1.6,2.0,259,190,30.7,Josh Richardson,0.7,2.5,12.1,1.1,3.2,1.4
116,7.0,13.3,.526,1.1,3.6,.315,3.2,2.0,9.1,.514,.481,8.2,17.0,.788,6.8,8.6,158,158,30.7,Joel Embiid,2.3,3.4,24.3,0.7,11.4,3.7
117,1.3,3.0,.444,1.0,2.7,.375,1.7,0.3,1.7,.500,.412,2.3,5.7,.750,1.0,1.3,6,2,18.5,Zhaire Smith,0.5,1.3,6.7,0.3,2.2,1.0
118,1.0,1.5,.697,0.8,2.2,.354,0.9,0.9,2.7,.599,.494,1.8,3.7,.481,0.3,0.6,44,10,14.5,Jonah Bolden,1.1,2.3,4.7,0.4,3.8,0.8
119,1.0,2.2,.465,0.7,2.2,.318,0.9,0.4,1.3,.471,.391,1.7,4.4,.714,0.3,0.4,20,0,13.4,Shake Milton,0.5,1.5,4.4,0.4,1.8,0.3
120,5.5,10.1,.545,0.5,1.3,.368,3.2,1.2,6.2,.546,.525,6.0,11.3,.754,1.7,2.3,786,782,32.8,Al Horford,2.2,2.3,14.1,0.8,8.4,1.6
121,4.6,8.9,.512,1.3,3.5,.364,1.9,0.5,4.9,.521,.471,5.8,12.4,.822,2.5,3.1,546,426,30.4,Tobias Harris,1.0,2.0,15.4,0.7,6.0,1.4
122,1.9,3.7,.525,0.8,2.3,.364,0.9,0.1,2.4,.533,.464,2.8,6.0,.755,0.8,1.0,436,11,16.3,Mike Scott,0.7,1.5,7.1,0.3,3.1,0.7
123,2.3,4.3,.537,0.1,0.3,.209,1.3,1.0,3.3,.524,.518,2.4,4.5,.748,0.8,1.1,443,63,14.4,Kyle O'Quinn,1.3,2.1,5.6,0.4,4.6,1.0
124,1.5,2.7,.536,0.8,2.2,.357,0.9,0.3,2.2,.536,.457,2.2,4.9,.793,1.2,1.6,278,85,20.6,James Ennis,1.0,2.0,6.5,0.6,3.2,0.7
125,1.3,2.6,.482,0.6,1.5,.377,1.9,0.1,1.1,.512,.443,1.8,4.1,.776,0.6,0.7,199,54,14.2,Raul Neto,0.2,1.3,4.8,0.6,1.3,1.0
126,2.7,5.6,.477,1.3,3.5,.364,2.5,0.5,2.8,.504,.433,4.0,9.2,.771,1.8,2.3,270,68,26.8,Tyler Johnson,0.6,2.0,11.0,0.9,3.3,1.2
127,2.9,6.0,.488,1.6,4.4,.358,2.1,0.2,4.6,.509,.433,4.5,10.5,.835,2.0,2.4,240,150,26.9,Dario Šarić,1.6,2.1,12.7,0.6,6.2,1.8
128,7.2,12.2,.588,0.0,0.1,.000,1.8,0.9,7.1,.585,.585,7.2,12.3,.746,2.0,2.7,71,70,30.7,Deandre Ayton,3.1,2.9,16.3,0.9,10.3,1.8
129,1.7,3.0,.548,1.3,3.8,.335,2.1,0.5,2.5,.523,.430,3.0,6.9,.805,1.2,1.4,82,56,29.5,Mikal Bridges,0.7,2.5,8.3,1.6,3.2,0.9
130,2.1,4.1,.509,0.1,0.2,.281,0.7,0.5,2.9,.505,.498,2.2,4.4,.808,1.0,1.3,427,109,15.1,Aron Baynes,1.5,2.1,5.4,0.2,4.4,0.8
131,1.4,3.0,.475,0.7,2.5,.295,2.4,0.1,1.6,.460,.393,2.2,5.5,.787,0.7,0.9,53,16,18.1,Élie Okobo,0.2,2.1,5.7,0.6,1.8,1.3
132,5.5,11.5,.477,1.9,5.5,.354,4.2,0.3,3.0,.494,.437,7.4,16.9,.854,4.6,5.4,272,247,32.9,Devin Booker,0.5,3.1,21.4,0.8,3.5,3.2
133,0.6,2.1,.265,0.9,2.6,.333,1.8,0.3,1.3,.395,.303,1.4,4.7,.813,0.7,0.8,39,3,14.8,Jevon Carter,0.4,1.4,4.4,0.7,1.7,0.8
134,2.7,6.6,.413,0.8,2.6,.322,7.7,0.1,3.5,.433,.388,3.6,9.2,.838,3.1,3.7,498,477,30.9,Ricky Rubio,0.7,2.6,11.1,1.9,4.2,2.7
135,2.2,4.5,.500,1.1,3.3,.321,0.8,0.4,3.0,.493,.424,3.3,7.8,.778,1.7,2.1,292,44,22.1,Kelly Oubre Jr.,0.7,2.4,9.4,0.8,3.7,0.9
136,2.3,4.9,.468,1.2,3.4,.349,1.6,0.4,3.2,.491,.419,3.5,8.3,.760,1.6,2.1,282,23,22.2,Frank Kaminsky,0.7,1.5,9.8,0.5,4.0,0.9
137,5.0,10.5,.480,2.7,7.4,.368,6.3,0.3,3.5,.510,.434,7.8,18.0,.889,5.2,5.8,549,549,36.3,Damian Lillard,0.6,2.0,23.5,1.0,4.2,2.8
138,4.8,10.0,.482,2.0,5.0,.401,2.9,0.3,2.5,.522,.455,6.8,15.0,.839,2.2,2.6,411,314,30.0,CJ McCollum,0.6,2.1,17.8,0.9,3.1,1.7
139,2.1,4.5,.463,1.0,3.0,.352,1.9,0.5,2.7,.489,.419,3.1,7.5,.719,1.4,2.0,483,257,20.7,Kent Bazemore,0.4,1.9,8.7,1.0,3.1,1.5
140,5.6,9.6,.576,0.0,0.1,.222,0.6,2.3,8.1,.575,.574,5.6,9.7,.593,2.2,3.7,343,259,26.0,Hassan Whiteside,3.3,2.6,13.4,0.6,11.4,1.6
141,2.8,5.7,.492,0.2,0.6,.375,1.0,0.6,2.9,.499,.480,3.0,6.3,.746,1.4,1.8,115,41,17.6,Skal Labissière,1.4,2.0,7.6,0.4,4.3,1.1
142,1.6,3.2,.503,0.5,1.6,.321,0.9,0.7,2.7,.496,.441,2.1,4.8,.720,0.8,1.2,143,1,16.8,Zach Collins,1.1,2.1,5.6,0.3,3.8,0.9
143,0.9,1.7,.529,0.5,1.5,.345,0.7,0.0,0.5,.524,.444,1.4,3.2,.563,0.5,0.8,20,1,7.1,Anfernee Simons,0.2,0.5,3.8,0.1,0.7,0.6
144,4.6,9.3,.498,0.0,0.1,.071,1.9,1.3,5.5,.492,.491,4.7,9.5,.666,2.3,3.5,310,229,22.9,Jusuf Nurkić,2.5,3.1,11.6,0.8,8.0,2.0
145,0.7,1.9,.379,0.3,1.4,.238,0.3,0.1,0.7,.370,.320,1.1,3.3,.429,0.2,0.5,15,1,7.4,Gary Trent Jr.,0.1,0.3,2.7,0.1,0.7,0.3
146,0.9,1.8,.497,1.2,3.3,.376,0.9,0.3,2.6,.540,.418,2.1,5.0,.772,0.9,1.2,664,92,19.9,Anthony Tolliver,0.8,1.6,6.4,0.4,3.4,0.6
147,1.9,3.9,.484,0.9,2.7,.321,1.3,0.3,2.6,.483,.417,2.8,6.6,.811,0.9,1.2,277,65,18.9,Mario Hezonja,0.4,1.6,7.3,0.7,3.0,1.2
148,2.8,6.1,.465,1.7,4.7,.367,1.9,0.2,2.5,.502,.422,4.5,10.7,.841,1.8,2.1,320,227,27.2,Rodney Hood,0.3,2.2,12.6,0.8,2.8,1.1
149,2.8,6.1,.465,1.7,4.7,.367,1.9,0.2,2.5,.502,.422,4.5,10.7,.841,1.8,2.1,320,227,27.2,Rodney Hood,0.3,2.2,12.6,0.8,2.8,1.1
150,3.1,6.6,.471,2.5,5.9,.419,2.0,0.3,3.2,.545,.446,5.6,12.5,.874,1.3,1.4,244,149,26.8,Buddy Hield,0.8,1.9,14.9,0.7,4.0,1.5
151,0.8,2.0,.408,0.0,0.3,.133,0.5,0.1,1.8,.381,.372,0.9,2.4,.667,0.4,0.6,48,3,7.6,Caleb Swanigan,0.7,1.4,2.2,0.2,2.5,0.8
152,3.0,5.9,.512,0.0,0.1,.000,1.5,0.4,2.7,.503,.503,3.0,6.0,.637,1.0,1.6,58,0,14.1,Harry Giles,1.1,2.6,7.0,0.5,3.8,1.3
153,4.5,9.8,.462,0.9,2.5,.345,5.9,0.4,2.8,.474,.439,5.4,12.3,.725,2.9,4.0,154,141,29.7,De'Aaron Fox,0.5,2.4,14.6,1.3,3.3,2.6
154,3.0,6.3,.473,1.8,4.7,.375,3.5,0.2,2.7,.512,.431,4.8,11.0,.833,1.6,1.9,148,70,27.9,Bogdan Bogdanović,0.5,2.1,12.9,1.0,3.1,1.6
155,5.3,9.8,.534,0.5,1.5,.313,1.0,1.0,5.0,.525,.504,5.7,11.4,.691,2.9,4.2,62,4,25.3,Marvin Bagley III,2.6,1.9,14.9,0.5,7.6,1.6
156,1.6,3.0,.533,1.1,2.8,.381,1.5,0.4,3.3,.551,.460,2.7,5.8,.755,0.7,0.9,269,92,20.2,Nemanja Bjelica,1.1,2.4,7.1,0.6,4.4,0.9
157,1.8,4.0,.465,1.3,3.4,.374,2.6,0.1,2.1,.509,.423,3.1,7.4,.834,1.1,1.3,199,53,22.8,Yogi Ferrell,0.3,1.5,8.6,0.7,2.4,0.9
158,0.9,1.6,.545,0.4,1.0,.429,0.0,0.0,0.9,.583,.500,1.3,2.6,1.000,0.3,0.3,7,0,7.0,B.J. Johnson,0.3,0.6,3.3,0.3,1.1,0.3
159,2.3,4.8,.477,0.4,1.4,.327,2.8,0.2,2.1,.480,.444,2.7,6.2,.761,1.0,1.3,528,95,21.5,Cory Joseph,0.5,1.5,6.9,0.8,2.6,1.0
160,2.4,4.9,.482,1.4,4.1,.351,2.2,0.3,3.8,.502,.422,3.8,9.0,.728,1.6,2.2,1011,710,29.8,Trevor Ariza,1.0,2.0,10.7,1.5,4.8,1.4
161,3.8,8.1,.475,1.2,3.3,.374,1.5,0.2,3.9,.500,.446,5.0,11.3,.795,2.2,2.8,540,479,30.7,Harrison Barnes,1.0,1.7,13.6,0.7,4.9,1.2
162,2.2,3.8,.577,0.4,1.0,.370,0.7,0.9,4.5,.573,.533,2.6,4.8,.724,1.0,1.3,350,176,18.3,Dewayne Dedmon,1.6,2.5,6.5,0.5,6.0,0.9
163,2.9,4.8,.608,0.2,0.7,0,0.9,0.9,2.9,.581,.565,3.1,5.5,.706,1.3,1.8,226,24,16.9,Richaun Holmes,1.5,2.3,7.7,0.5,4.4,0.7
164,0.2,0.3,.625,0.2,0.4,.400,0.2,0.0,0.4,.611,.500,0.3,0.7,.333,0.0,0.1,26,0,3.7,Tyler Lydon,0.3,0.4,0.9,0.1,0.7,0.2
165,2.5,5.6,.452,0.2,0.5,.316,2.3,0.3,3.2,.454,.441,2.7,6.1,.708,1.1,1.5,119,56,17.4,Dejounte Murray,1.0,1.5,6.6,0.9,4.2,1.4
166,6.7,14.2,.470,0.4,1.6,.283,3.4,0.3,3.5,.465,.451,7.1,15.8,.828,5.2,6.3,752,740,34.1,DeMar DeRozan,0.8,2.2,19.9,1.0,4.3,2.0
167,2.4,3.7,.643,0.0,0.0,0,0.8,0.9,2.6,.643,.643,2.4,3.7,.560,0.7,1.2,213,28,16.1,Jakob Pöltl,2.0,2.1,5.4,0.4,4.5,0.8
168,2.6,5.0,.523,0.7,1.8,.361,3.2,0.6,2.8,.528,.479,3.3,6.9,.762,1.3,1.7,84,55,22.2,Derrick White,0.5,1.8,8.5,0.8,3.3,1.2
169,1.6,3.3,.477,1.5,3.8,.391,2.4,0.1,1.4,.536,.431,3.1,7.1,.849,0.8,0.9,605,55,19.0,Patty Mills,0.3,1.3,8.4,0.6,1.7,1.0
170,7.8,15.7,.497,0.1,0.4,.283,2.0,1.1,5.7,.495,.491,7.9,16.1,.810,3.6,4.4,950,909,34.5,LaMarcus Aldridge,2.7,2.5,19.6,0.7,8.4,1.6
171,0.6,1.9,.333,0.3,0.8,.385,0.5,0.2,1.0,.402,.348,0.9,2.7,.800,0.5,0.6,17,0,6.9,Lonnie Walker,0.0,0.4,2.6,0.4,1.0,0.2
172,2.1,4.5,.467,1.4,3.8,.376,1.7,0.1,1.9,.512,.425,3.5,8.3,.847,1.5,1.8,803,219,23.2,Marco Belinelli,0.2,1.5,10.0,0.6,2.1,1.0
173,1.6,3.5,.468,1.4,3.5,.406,1.4,0.0,1.7,.539,.437,3.1,7.0,.782,0.6,0.8,198,93,20.7,Bryn Forbes,0.2,1.4,8.2,0.4,1.9,0.6
174,0.7,1.9,.339,0.0,0.1,.000,0.4,0.1,0.9,.328,.328,0.7,2.0,.765,0.4,0.6,29,0,5.0,Chimezie Metu,0.3,0.5,1.8,0.2,1.2,0.5
175,0.7,1.1,.577,0.0,0.0,0,0.3,0.2,1.2,.577,.577,0.7,1.1,.846,0.5,0.6,23,0,4.9,Drew Eubanks,0.3,0.5,1.8,0.1,1.5,0.3
176,2.0,4.2,.485,1.2,3.3,.360,1.3,0.3,3.2,.509,.430,3.2,7.5,.743,1.5,2.1,554,339,24.2,DeMarre Carroll,1.2,2.0,9.1,0.9,4.3,0.9
177,5.7,11.7,.483,1.0,3.0,.348,2.2,0.8,4.5,.491,.456,6.7,14.7,.796,3.2,4.0,879,772,34.0,Rudy Gay,1.4,2.4,17.6,1.3,5.9,2.3
178,2.0,4.1,.495,0.9,2.6,.331,1.1,0.3,3.2,.495,.431,2.9,6.7,.705,1.0,1.5,288,41,17.5,Trey Lyles,0.7,1.4,7.6,0.4,3.9,0.9
179,5.2,10.4,.498,0.4,1.2,.350,3.4,1.5,6.0,.501,.483,5.6,11.5,.777,3.4,4.4,795,781,33.4,Marc Gasol,1.7,2.9,15.0,0.9,7.7,2.1
180,3.5,6.0,.592,0.5,1.6,.309,2.0,0.6,3.8,.564,.531,4.1,7.6,.743,1.4,1.9,216,122,23.5,Pascal Siakam,1.2,2.4,10.1,0.7,5.1,1.2
181,1.5,2.5,.587,1.0,2.8,.351,0.7,0.3,2.0,.555,.461,2.5,5.3,.605,0.5,0.9,141,68,20.1,OG Anunoby,0.7,1.9,6.4,0.7,2.7,0.7
182,2.9,6.1,.469,1.8,4.9,.367,6.1,0.3,3.4,.505,.424,4.6,11.0,.805,3.3,4.2,856,620,31.3,Kyle Lowry,0.8,2.7,14.4,1.4,4.3,2.3
183,4.5,8.3,.547,0.6,1.7,.357,0.7,2.2,5.1,.545,.514,5.1,10.0,.761,1.5,1.9,753,619,28.7,Serge Ibaka,2.2,2.8,12.3,0.4,7.3,1.3
184,1.8,3.5,.510,0.8,2.4,.345,1.2,0.2,1.8,.513,.442,2.6,5.9,.807,1.0,1.3,255,63,16.8,Norman Powell,0.3,1.5,7.1,0.6,2.1,0.9
185,1.6,3.8,.427,1.3,3.3,.394,3.3,0.2,1.9,.504,.412,2.9,7.1,.836,1.1,1.3,177,28,20.2,Fred VanVleet,0.3,1.6,8.3,0.8,2.2,1.0
186,0.2,0.5,.500,0.7,1.7,.429,0.2,0.1,0.6,.611,.444,1.0,2.2,.875,0.3,0.3,25,4,7.7,Malcolm Miller,0.2,0.6,2.9,0.1,0.8,0.2
187,0.8,1.3,.564,0.4,1.3,.316,0.1,0.8,1.4,.519,.442,1.2,2.7,.867,0.4,0.5,29,0,5.7,Chris Boucher,0.6,1.1,3.2,0.2,2.0,0.2
188,0.3,0.8,.400,0.3,0.7,.500,0.5,0.0,0.7,.556,.444,0.7,1.5,.818,0.8,0.9,12,0,4.6,Jordan Loyd,0.1,0.4,2.4,0.0,0.8,0.2
189,1.0,1.9,.513,0.4,1.5,.299,1.2,0.2,1.2,.485,.420,1.4,3.4,.791,0.4,0.5,157,31,15.5,Patrick McCaw,0.3,1.1,3.7,0.6,1.5,0.6
190,1.7,4.1,.430,0.8,2.8,.293,1.5,0.2,2.8,.434,.374,2.6,6.9,.764,1.0,1.3,285,64,21.6,Stanley Johnson,0.6,2.0,7.0,0.9,3.4,1.2
191,3.4,7.3,.468,0.2,0.8,.223,2.0,0.6,4.5,.455,.444,3.6,8.1,.739,2.5,3.4,234,147,23.6,Rondae Hollis-Jefferson,1.4,2.1,9.9,1.0,5.9,1.4
192,4.1,6.5,.629,0.0,0.0,0,1.3,2.2,7.3,.629,.629,4.1,6.5,.631,3.0,4.7,406,314,28.7,Rudy Gobert,3.2,2.5,11.1,0.7,10.5,1.6
193,3.9,8.4,.470,1.4,3.7,.375,5.7,0.2,2.5,.498,.441,5.3,12.0,.819,2.9,3.5,788,758,32.6,Mike Conley,0.4,2.0,14.9,1.5,3.0,2.0
194,5.6,11.7,.483,2.4,6.9,.351,3.9,0.4,3.2,.499,.434,8.1,18.5,.805,3.6,4.4,156,148,33.6,Donovan Mitchell,0.7,2.7,22.1,1.4,3.9,2.8
195,0.9,2.2,.423,0.0,0.1,0,0.2,0.2,1.1,.407,.407,0.9,2.3,.750,0.3,0.3,12,0,5.4,Tony Bradley,1.1,0.6,2.1,0.2,2.2,0.3
196,1.1,2.2,.520,0.7,1.9,.374,1.5,0.3,3.1,.539,.451,1.9,4.2,.788,0.6,0.8,151,20,18.7,Royce O'Neale,0.3,1.8,5.1,0.6,3.5,0.8
197,1.2,2.4,.511,1.6,4.0,.408,3.4,0.2,2.8,.575,.447,2.9,6.4,.741,0.6,0.8,406,223,24.7,Joe Ingles,0.3,1.8,8.0,1.0,3.1,1.5
198,1.4,3.0,.477,0.7,2.4,.304,2.3,0.2,1.4,.468,.400,2.2,5.4,.770,0.8,1.1,204,68,19.3,Dante Exum,0.4,1.9,5.9,0.4,1.8,1.3
199,0.6,1.2,.514,0.5,1.3,.364,0.5,0.1,1.1,.531,.434,1.1,2.5,.821,0.3,0.3,91,0,7.0,Georges Niang,0.2,0.7,2.9,0.2,1.2,0.3
200,3.0,5.8,.520,1.7,4.4,.389,1.4,0.1,2.9,.547,.463,4.7,10.2,.846,2.1,2.5,399,282,27.8,Bojan Bogdanović,0.5,1.6,13.3,0.6,3.4,1.4
201,1.9,3.5,.542,0.0,0.0,.125,0.5,0.7,2.8,.537,.537,1.9,3.5,.612,1.3,2.1,580,98,16.5,Ian Mahinmi,1.5,2.6,5.0,0.6,4.3,1.0
202,5.1,10.5,.488,2.2,5.7,.384,3.7,0.4,3.1,.519,.452,7.3,16.2,.798,3.0,3.8,488,454,34.4,Bradley Beal,0.8,2.2,19.8,1.1,3.9,2.1
