,2_pointers,2_pointers_attempted,2pt_percentage,3_pointers,3_pointers_attempted,3pt_percentage,assists,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,field_goals_attempted,free_throw_percentage,free_throws,free_throws_attempted,games,games_start,minutes_played,name,offensive_rebounds,personal_fouls,points,steals,total_rebounds,turnovers
232,1.9,3.6,.518,0.0,0.0,0,0.5,1.4,4.3,.517,.517,1.9,3.6,.571,1.2,2.2,583,242,20.3,Bismack Biyombo,1.9,2.2,4.9,0.3,6.3,0.9
233,2.8,5.8,.480,1.0,2.7,.362,1.3,0.5,4.1,.500,.443,3.8,8.5,.807,2.0,2.5,1014,827,28.6,Marvin Williams,1.2,2.0,10.5,0.8,5.3,1.0
234,2.6,4.8,.543,0.1,0.4,.364,1.1,0.4,3.6,.543,.530,2.8,5.2,.696,1.4,2.0,178,26,14.8,Willy Hernangómez,2.0,1.8,7.0,0.4,5.6,1.1
235,1.4,3.2,.429,1.4,4.2,.335,1.5,0.2,1.3,.471,.376,2.8,7.4,.871,0.9,1.0,136,0,15.5,Malik Monk,0.2,1.2,7.9,0.4,1.5,1.0
236,1.5,3.3,.455,0.5,1.4,.377,0.9,0.1,2.1,.487,.432,2.0,4.7,.761,0.6,0.7,96,19,15.3,Dwayne Bacon,0.1,1.2,5.1,0.3,2.2,0.4
237,2.2,3.9,.553,0.8,2.5,.325,1.2,0.6,3.2,.527,.464,3.0,6.4,.753,0.7,1.0,80,25,21.2,Miles Bridges,0.8,1.4,7.5,0.7,4.0,0.6
238,0.9,2.1,.421,0.7,2.6,.281,2.6,0.0,1.2,.421,.343,1.6,4.7,.761,0.8,1.0,46,3,14.7,Devonte' Graham,0.2,1.0,4.7,0.5,1.4,0.7
239,1.5,3.8,.404,1.2,3.5,.354,2.3,0.2,3.0,.465,.380,2.8,7.3,.777,0.9,1.2,272,30,20.0,Terry Rozier,0.6,1.2,7.7,0.7,3.6,0.8
240,2.3,4.8,.492,0.9,2.4,.392,1.8,0.2,1.5,.524,.458,3.3,7.1,.744,0.6,0.8,515,184,21.7,E'Twaun Moore,0.5,1.6,8.0,0.7,2.0,0.9
241,4.6,9.4,.485,0.7,2.0,.329,2.9,0.6,3.9,.487,.458,5.2,11.5,.662,2.7,4.1,190,151,31.7,Brandon Ingram,0.8,2.5,13.9,0.6,4.7,2.1
242,2.3,5.0,.449,1.7,5.3,.315,6.4,0.6,4.9,.461,.380,3.9,10.3,.437,0.5,1.2,99,95,32.4,Lonzo Ball,1.2,2.3,10.0,1.6,6.2,2.4
243,1.5,2.8,.530,1.3,3.6,.361,1.3,0.4,3.3,.536,.435,2.8,6.5,.695,0.9,1.3,130,45,24.4,Josh Hart,0.6,2.0,7.9,0.9,3.9,0.8
244,4.9,10.1,.486,1.2,3.5,.355,6.4,0.5,3.0,.498,.452,6.1,13.6,.784,2.0,2.6,652,579,33.1,Jrue Holiday,0.8,2.3,15.6,1.5,3.8,2.7
245,2.3,4.6,.507,0.9,2.8,.314,1.1,0.0,1.8,.493,.434,3.2,7.3,.740,0.9,1.2,61,16,19.2,Frank Jackson,0.4,1.5,8.1,0.4,2.2,0.8
246,4.6,8.7,.535,0.1,0.3,.210,1.1,1.3,4.7,.528,.525,4.7,8.9,.664,2.2,3.2,632,436,25.7,Derrick Favors,2.5,2.6,11.6,0.8,7.2,1.4
247,1.2,2.7,.447,1.1,3.4,.333,1.8,0.4,3.6,.477,.384,2.3,6.1,.684,0.3,0.4,46,29,23.5,Kenrich Williams,1.2,2.1,6.1,1.0,4.8,0.8
248,4.9,9.1,.533,0.0,0.1,.200,0.9,0.9,3.5,.531,.530,4.9,9.2,.679,1.7,2.5,190,105,21.1,Jahlil Okafor,1.6,2.2,11.5,0.3,5.1,1.5
249,2.3,4.7,.484,2.0,4.9,.413,2.0,0.1,1.8,.553,.448,4.3,9.7,.890,2.2,2.5,836,452,25.9,J.J. Redick,0.2,1.5,12.9,0.5,2.0,1.1
