,2_pointers,2_pointers_attempted,2pt_percentage,3_pointers,3_pointers_attempted,3pt_percentage,age,assists,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,field_goals_attempted,free_throw_percentage,free_throws,free_throws_attempted,games,games_start,minutes_played,name,offensive_rebounds,personal_fouls,points,position,season,steals,team,total_rebounds,turnovers
115,9.3,16.8,.554,0.6,1.9,.307,23,4.8,1.4,8.0,.545,.529,9.9,18.7,.760,6.5,8.5,75,75,36.7,Giannis Antetokounmpo,2.1,3.1,26.9,PF,2017-18,1.5,MIL,10.0,3.0
116,9.3,14.5,.641,0.7,2.8,.256,24,5.9,1.5,10.3,.599,.578,10.0,17.3,.729,6.9,9.5,72,72,32.8,Giannis Antetokounmpo,2.2,3.2,27.7,PF,2018-19,1.3,MIL,12.5,3.7
117,0.3,0.5,.636,0.1,0.2,.400,21,0.1,0.0,0.4,.625,.563,0.4,0.7,.500,0.0,0.1,22,0,3.2,D.J. Wilson,0.1,0.3,1.0,PF,2017-18,0.1,MIL,0.5,0.2
118,1.2,2.6,.468,1.0,2.6,.362,22,1.1,0.4,3.7,.506,.414,2.2,5.2,.553,0.5,1.0,48,3,18.4,D.J. Wilson,0.9,1.8,5.8,PF,2018-19,0.4,MIL,4.6,0.7
119,0.9,2.1,.439,0.6,1.7,.352,22,0.5,0.2,2.1,.478,.400,1.5,3.8,.875,0.4,0.4,54,4,14.4,Sterling Brown,0.5,1.5,4.0,SG,2017-18,0.6,MIL,2.6,0.5
120,1.6,2.8,.558,0.9,2.5,.361,23,1.4,0.1,2.7,.550,.465,2.5,5.4,.690,0.5,0.7,58,7,17.8,Sterling Brown,0.5,1.5,6.4,SG,2018-19,0.4,MIL,3.2,0.8
121,1.0,1.5,.683,0.8,3.1,.265,22,1.1,0.2,1.8,.492,.403,1.9,4.6,.750,0.3,0.4,27,0,15.2,Donte DiVincenzo,0.6,1.4,4.9,SG,2018-19,0.5,MIL,2.4,0.7
122,3.0,6.0,.496,1.7,4.9,.353,29,1.7,0.3,4.5,.511,.431,4.7,10.9,.778,2.0,2.5,82,52,26.1,Ersan İlyasova,1.4,2.6,13.1,PF,2016-17,0.7,traded,5.9,1.4
123,2.7,5.2,.517,1.3,3.7,.360,30,1.3,0.4,4.2,.526,.452,4.0,8.9,.778,1.5,2.0,69,43,25.1,Ersan İlyasova,1.7,2.3,10.9,PF,2017-18,0.9,traded,5.9,1.0
124,1.6,3.3,.493,0.9,2.4,.363,31,0.8,0.3,3.1,.514,.438,2.5,5.7,.824,0.9,1.1,67,7,18.4,Ersan İlyasova,1.4,2.6,6.8,PF,2018-19,0.5,MIL,4.5,0.7
125,0.5,1.0,.513,0.4,0.8,.515,24,0.7,0.1,1.1,.632,.514,0.9,1.8,.778,0.2,0.2,39,1,8.1,Pat Connaughton,0.3,0.6,2.5,SG,2016-17,0.2,POR,1.3,0.4
126,1.1,2.2,.506,0.9,2.6,.352,25,1.1,0.3,1.5,.518,.423,2.0,4.8,.841,0.5,0.5,82,5,18.1,Pat Connaughton,0.4,1.5,5.4,SG,2017-18,0.3,POR,2.0,0.5
127,1.6,2.5,.647,1.1,3.3,.330,26,2.0,0.4,3.2,.560,.466,2.7,5.7,.725,0.5,0.7,61,2,20.7,Pat Connaughton,1.0,1.3,6.9,SG,2018-19,0.5,MIL,4.2,0.5
