exp,name,pos,slug,team
2,Shaquille Harrison,G,/players/h/harrish01.html,Chicago Bulls
7,John Henson,C-F,/players/h/hensojo01.html,Cleveland Cavaliers
7,Brandon Knight,G,/players/k/knighbr03.html,Cleveland Cavaliers
8,Tristan Thompson,F-C,/players/t/thomptr01.html,Cleveland Cavaliers
5,Jordan Clarkson,G,/players/c/clarkjo01.html,Cleveland Cavaliers
6,Matthew Dellavedova,G,/players/d/dellama01.html,Cleveland Cavaliers
2,Ante Žižić,F-C,/players/z/zizican01.html,Cleveland Cavaliers
2,Cedi Osman,F,/players/o/osmande01.html,Cleveland Cavaliers
1,Collin Sexton,G,/players/s/sextoco01.html,Cleveland Cavaliers
11,Kevin Love,F,/players/l/loveke01.html,Cleveland Cavaliers
4,Larry Nance Jr.,F-C,/players/n/nancela02.html,Cleveland Cavaliers
5,Dwight Powell,F-C,/players/p/poweldw01.html,Dallas Mavericks
11,Courtney Lee,G,/players/l/leeco01.html,Dallas Mavericks
2,Justin Jackson,G-F,/players/j/jacksju01.html,Dallas Mavericks
6,Tim Hardaway Jr.,G,/players/h/hardati02.html,Dallas Mavericks
1,Luka Dončić,G-F,/players/d/doncilu01.html,Dallas Mavericks
1,Ryan Broekhoff,F,/players/b/broekry01.html,Dallas Mavericks
1,Jalen Brunson,G,/players/b/brunsja01.html,Dallas Mavericks
1,Kostas Antetokounmpo,F,/players/a/antetko01.html,Dallas Mavericks
1,Daryl Macon,G,/players/m/maconda01.html,Dallas Mavericks
4,Delon Wright,G,/players/w/wrighde01.html,Dallas Mavericks
5,Seth Curry,G,/players/c/curryse01.html,Dallas Mavericks
2,Maxi Kleber,F,/players/k/klebima01.html,Dallas Mavericks
3,Dorian Finney-Smith,F,/players/f/finnedo01.html,Dallas Mavericks
3,Kristaps Porziņģis,F-C,/players/p/porzikr01.html,Dallas Mavericks
3,Malik Beasley,G,/players/b/beaslma01.html,Denver Nuggets
3,Jamal Murray,G,/players/m/murraja01.html,Denver Nuggets
3,Juan Hernangómez,F,/players/h/hernaju01.html,Denver Nuggets
13,Paul Millsap,F,/players/m/millspa01.html,Denver Nuggets
6,Mason Plumlee,C-F,/players/p/plumlma01.html,Denver Nuggets
5,Gary Harris,G,/players/h/harriga01.html,Denver Nuggets
5,Jerami Grant,F,/players/g/grantje01.html,Denver Nuggets
